family,L,PCR,order_churn,fill,cover_days,orders_per_year
Fixed order quantity (LN),7,0.06692421315759572,0.50471293916024,1.0,11.095354768630603,40.37369207772795
Fixed order quantity (LN),28,0.030110214748324055,0.581140350877193,1.0,13.637955665491589,13.639760837070254
Economic order quantity (LN),10,0.1650948755823202,0.7512926577042399,1.0,10.130185801217209,82.38415545590433
Economic order quantity (LN),100,0.16804908533121235,0.85,1.0,10.233844134163682,74.745889387145
Economic order quantity (LN),1000,0.128394500624929,0.9800520381613183,1.0,10.9934577221197,48.5575485799701
Floating window (both),7,0.04624474491535053,0.812375249500998,1.0,10.779834973416019,20.186846038863976
Floating window (both),14,0.027724122258834222,0.9003690036900369,1.0,14.461215184943203,10.911808669656203
Floating window (both),28,0.018634246108396774,0.9879518072289156,0.9998689496218036,22.368876994942827,6.001494768310912
Floating window (both),56,0.011703215543688217,0.9716981132075472,1.0,36.19518585315405,3.273542600896861
Fixed order quantity (LN),7,0.054312009998863764,0.4760956175298805,1.0,9.33652578977062,39.828101644245145
Fixed order quantity (LN),28,0.028064992614475627,0.5393013100436681,1.0,14.128752994553881,14.185351270553065
Economic order quantity (LN),10,0.08078627428701284,0.4647058823529412,1.0,8.092935529579329,64.9252615844544
Economic order quantity (LN),100,0.08499034200659016,0.6151315789473685,1.0,8.949373826374591,50.73991031390135
Economic order quantity (LN),1000,0.06192478127485513,0.9008264462809917,1.0,12.044130672697609,22.91479820627803
Floating window (both),7,0.07908192250880582,0.8285714285714286,1.0,4.5492591330648695,35.46337817638266
Floating window (both),14,0.05101692989433019,0.9126016260162602,1.0,7.890762240368805,20.732436472346787
Floating window (both),28,0.03260993068969435,0.9761904761904762,1.0,15.123961788288593,11.457399103139014
Floating window (both),56,0.018179752300874902,0.9815950920245399,1.0,27.387884870156142,6.001494768310912
Fixed order quantity (LN),7,0.08044540393137144,0.4597402597402597,1.0,4.690281109436675,52.922272047832585
Fixed order quantity (LN),28,0.031132825815248268,0.5720250521920668,1.0,13.69924971930215,14.185351270553065
Economic order quantity (LN),10,0.1882740597659357,0.599493487698987,1.0,1.931072115611561,117.30194319880418
Economic order quantity (LN),100,0.1829337575275537,0.6827820186598813,1.0,2.901898443142973,98.75186846038864
Economic order quantity (LN),1000,0.12498579706851494,0.8906882591093117,1.0,6.299613652005619,44.738415545590435
Floating window (both),7,0.06022042949664811,0.6279620853080569,1.0,2.1395576646784797,34.37219730941704
Floating window (both),14,0.03976820815816384,0.7692307692307693,1.0,5.151025294962776,18.550074738415546
Floating window (both),28,0.025451653221224863,0.875,1.0,12.645373497852205,10.366218236173394
Floating window (both),56,0.017157141233950686,0.94375,0.9999228200562176,27.686942804765522,5.4559043348281016
Fixed order quantity (LN),7,0.08680831723667765,0.528719723183391,1.0,3.1366958364171875,45.28400597907324
Fixed order quantity (LN),28,0.027156004999431882,0.5636792452830188,1.0,11.224887166760984,12.548579970104633
Economic order quantity (LN),10,0.10328371775934553,0.35355892648774795,1.0,0.9053839263473379,103.66218236173393
Economic order quantity (LN),100,0.09214861947505965,0.580945558739255,1.0,4.955523198566202,49.648729446935725
Economic order quantity (LN),1000,0.05044881263492785,0.8457142857142858,1.0,14.718510876249226,18.004484304932735
Floating window (both),7,0.04579025110782865,0.8666666666666667,1.0,11.54011858801616,19.095665171898357
Floating window (both),14,0.024769912509942052,0.9316239316239316,1.0,14.382314949936964,9.820627802690582
Floating window (both),28,0.015452789455743665,0.9784172661870504,1.0,22.804534425235296,5.4559043348281016
